4 - a good deal to be said on that point said
4 - aeneas what worse shall i call thee barabbas go with
4 - bireno aeneas what worse shall i call thee barabbas go
4 - born naked i find myself i neither lose nor gain
4 - call thee barabbas go with thee all evil befall thee
4 - don quixote of la mancha otherwise called the knight of
4 - i call thee barabbas go with thee all evil befall
4 - is a good deal to be said on that point
4 - is continued the adventure of the knight of the grove
4 - quixote of la mancha otherwise called the knight of the
4 - shall i call thee barabbas go with thee all evil
4 - there is a good deal to be said on that
4 - what worse shall i call thee barabbas go with thee
4 - worse shall i call thee barabbas go with thee all
3 - are on the flow and all for distant dulcinea del
3 - art in the right of it sancho said don quixote
3 - don quixote tears are on the flow and all for
3 - la mancha otherwise called the knight of the rueful countenance
3 - not with whom thou art bred but with whom thou
3 - of la mancha otherwise called the knight of the rueful
3 - on the flow and all for distant dulcinea del toboso
3 - part of the history of don quixote of la mancha
3 - quixote tears are on the flow and all for distant
3 - shalt never see it again as long as thou livest
3 - tears are on the flow and all for distant dulcinea
3 - thou art in the right of it sancho said don
3 - thou shalt never see it again as long as thou
3 - when they offer thee a heifer run with a halter
3 - whom thou art bred but with whom thou art fed
3 - with whom thou art bred but with whom thou art
2 - a letter which sancho panza wrote to his wife teresa
2 - a life in the fields while the year for which
2 - a pulpit in hand and go about the world preaching
2 - a satisfactory reply to the doubts and questions of the
2 - a sparrow in the hand is better than a vulture
2 - a thousand trifling matters as trivial as they are necessary
2 - academician of argamasilla on the tomb of don quixote epitaph
2 - account is given of the wedding of camacho the rich
2 - account of how sancho panza conducted himself in his government
2 - achieved by the valiant don quixote of la mancha with
2 - address displayed by the fair dorothea with other matters pleasant
2 - adopted to enchant the lady dulcinea and other incidents as
2 - adopted to extricate our love stricken knight from the severe
2 - adventure and rich prize of mambrino helmet together with other
2 - adventure and the droll one of the puppet showman together
2 - adventure of the cave of montesinos in the heart of
2 - adventure of the distressed duenna alias the countess trifaldi together
2 - adventure of the enamoured shepherd together with other truly droll
2 - adventure of the enchanted bark chapter xxx of don quixote
