4 - aeneas what worse shall i call thee barabbas go with thee
4 - bireno aeneas what worse shall i call thee barabbas go with
4 - don quixote of la mancha otherwise called the knight of the
4 - i call thee barabbas go with thee all evil befall thee
4 - is a good deal to be said on that point said
4 - shall i call thee barabbas go with thee all evil befall
4 - there is a good deal to be said on that point
4 - what worse shall i call thee barabbas go with thee all
4 - worse shall i call thee barabbas go with thee all evil
3 - are on the flow and all for distant dulcinea del toboso
3 - don quixote tears are on the flow and all for distant
3 - not with whom thou art bred but with whom thou art
3 - of la mancha otherwise called the knight of the rueful countenance
3 - quixote of la mancha otherwise called the knight of the rueful
3 - quixote tears are on the flow and all for distant dulcinea
3 - tears are on the flow and all for distant dulcinea del
3 - thou art in the right of it sancho said don quixote
3 - thou shalt never see it again as long as thou livest
3 - with whom thou art bred but with whom thou art fed
2 - a good deal to be said on that point said don
2 - a good deal to be said on that point said sancho
2 - a letter which sancho panza wrote to his wife teresa panza
2 - a life in the fields while the year for which he
2 - a pulpit in hand and go about the world preaching fine
2 - a satisfactory reply to the doubts and questions of the bachelor
2 - a sparrow in the hand is better than a vulture on
2 - a thousand trifling matters as trivial as they are necessary to
2 - academician of argamasilla on the tomb of don quixote epitaph the
2 - account is given of the wedding of camacho the rich together
2 - achieved by the valiant don quixote of la mancha with less
2 - address displayed by the fair dorothea with other matters pleasant and
2 - adopted to enchant the lady dulcinea and other incidents as ludicrous
2 - adopted to extricate our love stricken knight from the severe penance
2 - adventure and rich prize of mambrino helmet together with other things
2 - adventure and the droll one of the puppet showman together with
2 - adventure of the cave of montesinos in the heart of la
2 - adventure of the distressed duenna alias the countess trifaldi together with
2 - adventure of the enamoured shepherd together with other truly droll incidents
2 - adventure of the enchanted bark chapter xxx of don quixote adventure
2 - adventure of the enchanted head together with other trivial matters which
2 - adventure of the knight of the grove together with the sensible
2 - adventure of the officers of the holy brotherhood and of the
2 - adventure of the penitents which with an expenditure of sweat he
2 - adventure of the puppet showman together with other things in truth
2 - adventure of the second distressed or afflicted duenna otherwise called dona
2 - adventure of the windmills with other occurrences worthy to be fitly
2 - adventure that befell don quixote in the whole course of this
2 - adventure that befell him with a dead body together with other
2 - adventure that befell the curate and the barber in the same
2 - adventure that don quixote fell in with when he fell out
2 - adventure which befell the valiant don quixote with the bold knight
2 - adventure which gave don quixote more unhappiness than all that had
2 - adventure which he did not conclude as he would have liked
2 - adventure which the valiant don quixote had with the car or
2 - adventure which was achieved by the valiant don quixote of la
2 - adventures came crowding on don quixote in such numbers that they
2 - advised curiosity chapter xxxv which treats of the heroic and prodigious
2 - against their will were being carried where they had no wish
2 - alias the countess trifaldi together with a letter which sancho panza
2 - also what befell the page who carried the letter to teresa
2 - altercation which sancho panza had with don quixote niece and housekeeper
2 - am don quixote of la mancha otherwise called the knight of
2 - an account is given of the wedding of camacho the rich
2 - and also what befell the page who carried the letter to
2 - and brings the novel of the ill advised curiosity to a
2 - and cat fright that don quixote got in the course of
2 - and deals with matters indispensable for the clear comprehension of this
2 - and delightful adventure that befell the curate and the barber in
2 - and droll conversation that passed between sancho panza and his wife
2 - and executioners were who flogged the duenna and pinched don quixote
2 - and finished the terrific battle between the gallant biscayan and the
2 - and her damsels held with sancho panza well worth reading and
2 - and highest point which the unexampled courage of don quixote reached
2 - and his ape were together with the mishap don quixote had
2 - and his good squire sancho panza endured in the inn which
2 - and his niece and housekeeper one of the most important chapters
2 - and his wife teresa panza and other matters worthy of being
2 - and housekeeper one of the most important chapters in the whole
2 - and important scrutiny which the curate and the barber made in
2 - and known who the knight of the mirrors and his squire
2 - and magnitude of which cause this adventure to be deemed apocryphal
2 - and method adopted to extricate our love stricken knight from the
2 - and most extraordinary adventure that befell don quixote in the whole
2 - and of the adventure that befell him with a dead body
2 - and of the great ferocity of our worthy knight don quixote
2 - and of the strange adventure that befell don quixote in the
2 - and of what followed with the witty and impudent altisidora one
2 - and other incidents that embellish and give a colour to this
2 - and pinched don quixote and also what befell the page who
2 - and prodigious battle don quixote had with certain skins of red
2 - and pursuits of the famous gentleman don quixote of la mancha
2 - and questions of the bachelor samson carrasco together with other matters
2 - and rich prize of mambrino helmet together with other things that
2 - and take to a life in the fields while the year
2 - and the barber made in the library of our ingenious gentleman
2 - and the barber proceeded with their scheme together with other matters
2 - and the droll one of the puppet showman together with the
2 - and the lacquey tosilos in defence of the daughter of dona
2 - and the pack saddle is finally settled with other adventures that
2 - and undreamt of adventure of the distressed duenna alias the countess
2 - and undreamt of adventure of the windmills with other occurrences worthy
2 - and unheard of adventure which was achieved by the valiant don
2 - and unparalleled battle that took place between don quixote of la
2 - ape were together with the mishap don quixote had in the
2 - are contained the innumerable troubles which the brave don quixote and
2 - are continued the refinements wherewith don quixote played the part of
2 - are inserted the despairing verses of the dead shepherd together with
2 - are related a thousand trifling matters as trivial as they are
2 - art in the right of it sancho said don quixote and
2 - as he entered his own village and other incidents that embellish
2 - as the pair of them were going to sit down to
2 - as they are necessary to the right understanding of this great
2 - as trivial as they are necessary to the right understanding of
2 - asked don quixote what news he had of the lady dulcinea
2 - bachelor samson carrasco together with other matters worth knowing and telling
2 - barber proceeded with their scheme together with other matters worthy of
2 - barcelona together with other matters that partake of the true rather
2 - bark chapter xxx of don quixote adventure with a fair huntress
2 - battle don quixote had with certain skins of red wine and
2 - battle that took place between don quixote of la mancha and
2 - be glad if it were god will not to be well
2 - befell don quixote in the sierra morena which was one of
2 - befell don quixote in the whole course of this great history
2 - befell don quixote on his way to see his lady dulcinea
2 - befell don quixote with dona rodriguez the duchess duenna together with
2 - befell him with a dead body together with other notable occurrences
2 - befell sancho on the road and other things that cannot be
2 - befell sancho panza through the visit to the galleys and the
2 - befell the page who carried the letter to teresa panza sancho
2 - befell the valiant don quixote with the bold knight of the
2 - before he set out to govern the island together with other
2 - bell and cat fright that don quixote got in the course
2 - benengeli says he who reads them will know if he reads
2 - between don quixote and his niece and housekeeper one of the
2 - between don quixote and his squire sancho on the way to
2 - between don quixote and his squire together with other very notable
2 - between don quixote and sancho panza his squire together with other
2 - between don quixote of la mancha and the lacquey tosilos in
2 - between sancho panza and his wife teresa panza and other matters
2 - born in this our iron age to revive in it the
2 - brave don quixote and his good squire sancho panza endured in
2 - braying adventure and the droll one of the puppet showman together
2 - braying adventure which he did not conclude as he would have
2 - brings the novel of the ill advised curiosity to a close
2 - brotherhood and of the great ferocity of our worthy knight don
2 - by the valiant don quixote of la mancha with less peril
2 - call thee barabbas go with thee all evil befall thee may
2 - camacho the rich together with the incident of basilio the poor
2 - came crowding on don quixote in such numbers that they gave
2 - canon pursues the subject of the books of chivalry with other
2 - castle or house of the knight of the green gaban together
2 - cat fright that don quixote got in the course of the
2 - cave of montesinos in the heart of la mancha which the
2 - cave of montesinos the impossibility and magnitude of which cause this
2 - certain skins of red wine and brings the novel of the
2 - chapter i of the interview the curate and the barber had
2 - chapter i which treats of the character and pursuits of the
2 - chapter ii which treats of the first sally the ingenious don
2 - chapter ii which treats of the notable altercation which sancho panza
2 - chapter iii of the laughable conversation that passed between don quixote
2 - chapter iii wherein is related the droll way in which don
2 - chapter iv in which sancho panza gives a satisfactory reply to
2 - chapter iv of what happened to our knight when he left
2 - chapter ix in which is concluded and finished the terrific battle
2 - chapter l of the shrewd controversy which don quixote and the
2 - chapter l wherein is set forth who the enchanters and executioners
2 - chapter li of the progress of sancho government and other such
2 - chapter li which deals with what the goatherd told those who
2 - chapter lii of the quarrel that don quixote had with the
2 - chapter lii wherein is related the adventure of the second distressed
2 - chapter liii of the troublous end and termination sancho panza government
2 - chapter liv which deals with matters relating to this history and
2 - chapter lix wherein is related the strange thing which may be
2 - chapter lv of what befell sancho on the road and other
2 - chapter lvi of the prodigious and unparalleled battle that took place
2 - chapter lvii which treats of how don quixote took leave of
2 - chapter lviii which tells how adventures came crowding on don quixote
2 - chapter lx of what happened don quixote on his way to
2 - chapter lxi of what happened don quixote on entering barcelona together
2 - chapter lxii which deals with the adventure of the enchanted head
2 - chapter lxiii of the mishap that befell sancho panza through the
2 - chapter lxiv treating of the adventure which gave don quixote more
2 - chapter lxix of the strangest and most extraordinary adventure that befell
2 - chapter lxv wherein is made known who the knight of the
2 - chapter lxvi which treats of what he who reads will see
2 - chapter lxvii of the resolution don quixote formed to turn shepherd
2 - chapter lxx which follows sixty nine and deals with matters indispensable
2 - chapter lxxi of what passed between don quixote and his squire
2 - chapter lxxii of how don quixote and sancho reached their village
2 - chapter lxxiii of the omens don quixote had as he entered
2 - chapter lxxiv of how don quixote fell sick and of the
2 - chapter v in which the narrative of our knight mishap is
2 - chapter v of the shrewd and droll conversation that passed between
2 - chapter vi of the diverting and important scrutiny which the curate
2 - chapter vi of what took place between don quixote and his
2 - chapter vii of the second sally of our worthy knight don
2 - chapter vii of what passed between don quixote and his squire
2 - chapter viii of the good fortune which the valiant don quixote
2 - chapter viii wherein is related what befell don quixote on his
2 - chapter x of the pleasant discourse that passed between don quixote
2 - chapter x wherein is related the crafty device sancho adopted to
2 - chapter xi of the strange adventure which the valiant don quixote
2 - chapter xii of the strange adventure which befell the valiant don
2 - chapter xii of what a goatherd related to those with don
2 - chapter xiii in which is continued the adventure of the knight
2 - chapter xiii in which is ended the story of the shepherdess
2 - chapter xiv wherein are inserted the despairing verses of the dead
2 - chapter xiv wherein is continued the adventure of the knight of
2 - chapter xix in which is related the adventure of the enamoured
2 - chapter xix of the shrewd discourse which sancho held with his
2 - chapter xl in which the story of the captive is continued
2 - chapter xl of matters relating and belonging to this adventure and
2 - chapter xli of the arrival of clavileno and the end of
2 - chapter xlii of the counsels which don quixote gave sancho panza
2 - chapter xlii which treats of what further took place in the
2 - chapter xliii of the second set of counsels don quixote gave
2 - chapter xliii wherein is related the pleasant story of the muleteer
2 - chapter xliv how sancho panza was conducted to his government and
2 - chapter xliv in which are continued the unheard of adventures of
2 - chapter xlix of what happened sancho in making the round of
2 - chapter xlix which treats of the shrewd conversation which sancho panza
2 - chapter xlv in which the doubtful question of mambrino helmet and
2 - chapter xlv of how the great sancho panza took possession of
2 - chapter xlvi of the end of the notable adventure of the
2 - chapter xlvi of the terrible bell and cat fright that don
2 - chapter xlvii of the strange manner in which don quixote of
2 - chapter xlvii wherein is continued the account of how sancho panza
2 - chapter xlviii in which the canon pursues the subject of the
2 - chapter xlviii of what befell don quixote with dona rodriguez the
2 - chapter xv in which is related the unfortunate adventure that don
2 - chapter xv wherein it is told and known who the knight
2 - chapter xvi of what befell don quixote with a discreet gentleman
2 - chapter xvi of what happened to the ingenious gentleman in the
2 - chapter xvii in which are contained the innumerable troubles which the
2 - chapter xvii wherein is shown the furthest and highest point which
2 - chapter xviii in which is related the discourse sancho panza held
2 - chapter xviii of what happened don quixote in the castle or
2 - chapter xx of the unexampled and unheard of adventure which was
2 - chapter xx wherein an account is given of the wedding of
2 - chapter xxi in which camacho wedding is continued with other delightful
2 - chapter xxi which treats of the exalted adventure and rich prize
2 - chapter xxii of the freedom don quixote conferred on several unfortunates
2 - chapter xxii wherein is related the grand adventure of the cave
2 - chapter xxiii of the wonderful things the incomparable don quixote said
2 - chapter xxiii of what befell don quixote in the sierra morena
2 - chapter xxiv in which is continued the adventure of the sierra
2 - chapter xxiv wherein are related a thousand trifling matters as trivial
2 - chapter xxix which treats of the droll device and method adopted
2 - chapter xxv wherein is set down the braying adventure and the
2 - chapter xxv which treats of the strange things that happened to
2 - chapter xxvi in which are continued the refinements wherewith don quixote
2 - chapter xxvi wherein is continued the droll adventure of the puppet
2 - chapter xxvii of how the curate and the barber proceeded with
2 - chapter xxvii wherein it is shown who master pedro and his
2 - chapter xxviii of matters that benengeli says he who reads them
2 - chapter xxviii which treats of the strange and delightful adventure that
2 - chapter xxx which treats of address displayed by the fair dorothea
2 - chapter xxxi of the delectable discussion between don quixote and sancho
2 - chapter xxxii of the reply don quixote gave his censurer with
2 - chapter xxxii which treats of what befell don quixote party at
2 - chapter xxxiii in which is related the novel of the ill
2 - chapter xxxiii of the delectable discourse which the duchess and her
2 - chapter xxxiv in which is continued the novel of the ill
2 - chapter xxxiv which relates how they learned the way in which
2 - chapter xxxix in which the trifaldi continues her marvellous and memorable
2 - chapter xxxv wherein is continued the instruction given to don quixote
2 - chapter xxxv which treats of the heroic and prodigious battle don
2 - chapter xxxvi wherein is related the strange and undreamt of adventure
2 - chapter xxxvi which treats of more curious incidents that occurred at
2 - chapter xxxvii in which is continued the story of the famous
2 - chapter xxxvii wherein is continued the notable adventure of the distressed
2 - chapter xxxviii wherein is told the distressed duenna tale of her
2 - chapter xxxviii which treats of the curious discourse don quixote delivered
2 - character and pursuits of the famous gentleman don quixote of la
2 - conclude as he would have liked or as he had expected
2 - concluded and finished the terrific battle between the gallant biscayan and
2 - conducted to his government and of the strange adventure that befell
2 - conferred on several unfortunates who against their will were being carried
